Name,Gross Sales Total,Percent of Total Sales,Quantity Sold,Average Price
Mango Hurricane - R,165.8,0.06358208834725322,21,7.50047619047619
Strawberry Sunshine - R,99.48,0.03681068272735713,14,6.513571428571429
Tropical Tornado - R,91.19,0.03681068272735713,11,8.29
Very Berry - R,91.19,0.030117831322383107,11,6.782727272727272
Hawaiian Sunset - R,74.61,0.030117831322383107,9,8.29
Mango Hurricane - S,58.9,0.02377617296459409,10,5.89
Strawberry Sunshine - S,53.01,0.02139855566813468,9,5.89
Pirates Nectar - R,49.74,0.02007855421492207,6,8.290000000000001
Tropical Tornado - S,47.12,0.01902093837167527,8,5.89
Hawaiian Sunset - S,35.34,0.014265703778756455,6,5.890000000000001
Very Berry - S,23.56,0.009510469185837636,4,5.89
Pirates Nectar - S,5.89,0.002377617296459409,1,5.89
Strawberry Storm - R,175.8,0.07096521574152193,20,8.790000000000001
Nuttin' Better - R,158.22,0.06386869416736972,19,8.32736842105263
Banana's A Whey - R,131.85,0.05322391180614144,16,8.240625
Ripped Berry - R,114.27,0.046127390231989245,13,8.79
Matcha Monsoon - R,71.92,0.029031958567293837,8,8.99
Ocean Mist - R,53.94,0.021773968925470375,6,8.99
Pomegranate Passion - R,53.94,0.021773968925470375,7,7.7057142857142855
Brazilian Thunder - R,35.96,0.014515979283646918,4,8.99
Pomegranate Passion - S,17.97,0.007253952940131677,3,5.989999999999999
Matcha Monsoon - S,11.98,0.004835968626754452,2,5.99
Ocean Mist - S,11.98,0.004835968626754452,2,5.99
Brazilian Thunder - S,5.99,0.002417984313377226,1,5.99
Funky Monkey - R,66.32,0.026771405619896094,8,8.29
Oatrageous Mocha - R,49.74,0.02007855421492207,6,8.290000000000001
Berry Cream Sensation - S,17.67,0.007132851889378227,3,5.890000000000001
Funky Monkey - S,17.67,0.007132851889378227,3,5.890000000000001
Mangosicle - R,16.58,0.006692851404974024,2,8.29
Pineapple Freeze - R,16.58,0.006692851404974024,2,8.29
Canadian Colada - S,11.78,0.004755234592918818,2,5.89
Berry Cream Sensation - R,8.29,0.003346425702487012,2,4.145
Canadian Colada - R,8.29,0.003346425702487012,1,8.29
Pea (Not) Butter 2.0 - R,8.29,0.003346425702487012,1,8.29
Pineapple Freeze - S,5.89,0.002377617296459409,1,5.89
Mind Over Matcha - R,74.32,0.030000766973321435,8,9.29
High Impact Acai - R,46.45,0.0187504793583259,5,9.290000000000001
Acai Avalanche - R,27.87,0.01125028761499554,3,9.290000000000001
Pomegranate Punch - R,27.87,0.01125028761499554,3,9.290000000000001
Tropi-Kale - R,54.54,0.022016171026977276,6,9.09
Spinach is in it - R,27.27,0.011008085513488638,3,9.09
Tropi-Kale - S,18.27,0.007375053990885128,3,6.09
Coco Crush - R,9.09,0.003669361837829546,1,9.09
$ Whey Protein,36.75,0.01483487871729767,21,1.75
$ Add WowButter,2.25,0.0009082578806508778,3,0.75
$ Chia Seeds,1.0,0.0004036701691781679,1,1.0
$ Collagen,1.0,0.0004036701691781679,1,1.0
$ Hemp Hearts,1.0,0.0004036701691781679,1,1.0
$ Pea Protein,1.0,0.0004036701691781679,1,1.0
$ Blueberry,0.75,0.00030275262688362595,1,0.75
$ Mango,0.75,0.00030275262688362595,1,0.75
$ Combo Booster,0.5,0.00020183508458908396,1,0.5
$ Density Booster,0.5,0.00020183508458908396,1,0.5
Add Blueberry,0.0,0.0,1,0.0
Add Coconut Water,0.0,0.0,1,0.0
Add Pinapple,0.0,0.0,2,0.0
Add Pineapple Juice,0.0,0.0,1,0.0
Add Vanilla Almond Milk,0.0,0.0,1,0.0
Combo Booster,0.0,0.0,4,0.0
Density Booster,0.0,0.0,5,0.0
Energy Booster,0.0,0.0,20,0.0
No Acai,0.0,0.0,1,0.0
No Cranberry Juice,0.0,0.0,1,0.0
No Ice,0.0,0.0,1,0.0
No Pineapple Juice,0.0,0.0,2,0.0
No Pomegranate,0.0,0.0,1,0.0
No Skim Milk,0.0,0.0,1,0.0
Power Booster,0.0,0.0,2,0.0
Warrior Booster,0.0,0.0,9,0.0
Wilderness Booster,0.0,0.0,2,0.0
Lemon Berry - R,26.97,0.010886984462735188,3,8.99
Lemon Berry - S,11.98,0.004835968626754452,2,5.99
Booster Ball (2),30.0,0.012110105075345037,6,5.0
Booster Ball (1),11.0,0.004440371860959847,4,2.75
Booster Ball (3),6.75,0.002724773641952633,1,6.75
Lemon & Ginger Shot - S,3.29,0.0013280748565961725,1,3.29
Lemon Ginger Tumeric & Coconut S,3.29,0.0013280748565961725,1,3.29
Birthday Cake - Booster Ball,0.0,0.0,1,0.0
Chocolate Chip - Booster Ball,0.0,0.0,7,0.0
Oatmeal Coconut - Booster Ball,0.0,0.0,11,0.0
Chipotle Chicken Panini,17.58,0.007096521574152191,4,4.395
Chicken Quesadilla,8.79,0.0035482607870760954,4,2.1975
Chipotle Chicken Wrap,8.79,0.0035482607870760954,2,4.395
Artisan Grilled Cheese,6.59,0.0026601864148841263,1,6.59
Pesto Chicken Panini,0.0,0.0,1,0.0
Egg White & Cheese Wrap,11.38,0.004593766525247551,2,5.69
Mango Teazer - TB,29.94,0.012085884865194348,6,4.99
Drink - Bottled Water - 500 ml,19.92,0.008041109770029106,8,2.49
$ Ginger,1.5,0.0006055052537672519,2,0.75
Allergy: ,0.0,0.0,313,0.0
