Name,Gross Sales Total,Percent of Total Sales,Quantity Sold,Average Price
Mango Hurricane - R,232.12,0.07473655389793386,28,7.9939285714285715
Strawberry Sunshine - R,198.96,0.06643249235371898,24,8.290000000000001
Tropical Tornado - R,99.48,0.03321624617685949,13,7.6523076923076925
Hawaiian Sunset - R,66.32,0.022144164117906324,8,8.29
Mango Hurricane - S,64.79,0.021633299053063194,12,5.399166666666667
Strawberry Sunshine - S,53.01,0.01769997195250625,11,4.819090909090909
Pirates Nectar - R,49.74,0.016608123088429745,6,8.290000000000001
Very Berry - R,49.74,0.016608123088429745,6,8.290000000000001
Very Berry - S,41.23,0.013766644851949304,7,5.89
Tropical Tornado - S,17.67,0.005899990650835417,3,5.890000000000001
Hawaiian Sunset - S,5.89,0.001966663550278472,1,5.89
Ripped Berry - R,228.54,0.07630921694068625,26,8.79
Strawberry Storm - R,167.01,0.05576442776434764,19,8.79
Banana's A Whey - R,140.64,0.04601458469675318,16,8.613125
Nuttin' Better - R,140.64,0.04695951811734538,16,8.79
Canadian Colada - R,82.9,0.02768020514738291,10,8.290000000000001
Funky Monkey - R,41.45,0.013840102573691455,5,8.290000000000001
Berry Cream Sensation - R,24.87,0.008304061544214873,3,8.290000000000001
Oatrageous Mocha - R,24.87,0.008304061544214873,3,8.290000000000001
Funky Monkey - S,17.67,0.005899990650835417,3,5.890000000000001
Pineapple Freeze - S,17.67,0.005899990650835417,3,5.890000000000001
Mangosicle - R,16.58,0.005536041029476581,2,8.29
Pea (Not) Butter 2.0 - R,16.58,0.005536041029476581,2,8.29
Berry Cream Sensation - S,11.78,0.003933327100556944,2,5.89
Mangosicle - S ,10.58,0.0035326486183270348,2,5.29
Oatrageous Mocha - S,10.58,0.0035326486183270348,2,5.29
Pineapple Freeze - R,8.29,0.0027680205147382906,1,8.29
Canadian Colada - S,0.0,0.0,1,0.0
Mind Over Matcha - R,92.9,0.031019192499298822,10,9.290000000000001
Pomegranate Punch - R,92.9,0.031019192499298822,10,9.290000000000001
Acai Avalanche - R,37.16,0.012407676999719527,4,9.29
High Impact Acai - R,37.16,0.012407676999719527,5,7.4319999999999995
Pomegranate Passion - R,107.88,0.036020995552468855,12,8.99
Brazilian Thunder - R,44.95,0.015008748146862025,6,7.491666666666667
Matcha Monsoon - S,35.94,0.012000320542785787,6,5.989999999999999
Matcha Monsoon - R,17.98,0.00600349925874481,2,8.99
Ocean Mist - R,17.98,0.00600349925874481,2,8.99
Pomegranate Passion - S,11.98,0.004000106847595263,2,5.99
Brazilian Thunder - S,5.99,0.0020000534237976314,1,5.99
Tropi-Kale - R,54.54,0.018210837017349383,6,9.09
Spinach is in it - R,45.45,0.01517569751445782,6,7.575
Spinach is in it - S,24.36,0.008133773189267161,4,6.09
Tropi-Kale - S,24.36,0.008133773189267161,5,4.872
Wildberry Rush - S,6.09,0.0020334432973167903,1,6.09
$ Whey Protein,40.25,0.013439424091461545,23,1.75
$ Chia Seeds,5.0,0.001669493675957956,5,1.0
$ Collagen,4.0,0.0013355949407663648,4,1.0
$ Add WowButter,2.25,0.0007512721541810802,3,0.75
$ Energy Booster,1.0,0.0003338987351915912,2,0.5
$ Hemp Hearts,1.0,0.0003338987351915912,1,1.0
$ Power Booster,1.0,0.0003338987351915912,2,0.5
$ Warrior Booster,1.0,0.0003338987351915912,2,0.5
$ Banana,0.75,0.0002504240513936934,1,0.75
$ Blueberry,0.75,0.0002504240513936934,1,0.75
$ Add Honey,0.5,0.0001669493675957956,1,0.5
$ Combo Booster,0.5,0.0001669493675957956,1,0.5
$ Density Booster,0.5,0.0001669493675957956,1,0.5
$ Wilderness Booster,0.5,0.0001669493675957956,1,0.5
Add Banana,0.0,0.0,1,0.0
Add Chocolate Almond Milk,0.0,0.0,1,0.0
Add Vanilla Almond Milk,0.0,0.0,1,0.0
Combo Booster,0.0,0.0,12,0.0
Density Booster,0.0,0.0,2,0.0
Energy Booster,0.0,0.0,27,0.0
Power Booster,0.0,0.0,6,0.0
Warrior Booster,0.0,0.0,10,0.0
Wilderness Booster,0.0,0.0,2,0.0
Lemon Berry - R,26.97,0.009005248888117214,3,8.99
Lemon Berry - S,17.97,0.0060001602713928934,3,5.989999999999999
Go Mango - R,8.99,0.003001749629372405,1,8.99
Chipotle Chicken Wrap,43.95,0.014674849411670434,9,4.883333333333334
Pesto Chicken Panini,26.37,0.00880490964700226,3,8.790000000000001
Artisan Grilled Cheese,13.18,0.0044007853298251715,2,6.59
Chicken Quesadilla,8.79,0.0029349698823340864,4,2.1975
Chipotle Chicken Panini,8.79,0.0029349698823340864,3,2.9299999999999997
Egg White & Cheese Wrap,22.76,0.007599535212960616,4,5.69
Booster Ball (3),33.75,0.01054452205735045,5,6.316
Booster Ball (2),30.0,0.010016962055747735,6,5.0
Booster Ball (1),11.0,0.0036728860871075033,4,2.75
Booster Ball (4),8.5,0.002838139249128525,1,8.5
Lemon & Ginger Shot - D,4.29,0.0014324255739719262,1,4.29
Lemon & Ginger Shot - S,3.29,0.001098526838780335,1,3.29
Birthday Cake - Booster Ball,0.0,0.0,2,0.0
Chocolate Chip - Booster Ball,0.0,0.0,10,0.0
Monster - Booster Ball,0.0,0.0,6,0.0
Oatmeal Coconut - Booster Ball,0.0,0.0,17,0.0
Mango Teazer - TB,34.93,0.01166308282024228,7,4.99
Drink - Bottled Water - 500 ml,12.45,0.00415703925313531,5,2.4899999999999998
$ Kale,0.75,0.0002504240513936934,1,0.75
$ Spinach,0.75,0.0002504240513936934,1,0.75
Allergy: ,0.0,0.0,374,0.0
