Name,Gross Sales Total,Percent of Total Sales,Quantity Sold,Average Price
Mango Hurricane - R,273.57,0.10039244180545936,33,8.038787878787877
Very Berry - R,140.93,0.053333484709150294,17,8.290000000000001
Mango Hurricane - S,106.02,0.04012216028428379,19,5.58
Strawberry Sunshine - R,66.32,0.02509811045136484,8,8.29
Tropical Tornado - R,66.32,0.02509811045136484,10,6.632
Hawaiian Sunset - R,58.03,0.02196084664494424,7,8.290000000000001
Strawberry Sunshine - S,53.01,0.020061080142141894,9,5.89
Tropical Tornado - S,29.45,0.011145044523412162,5,5.89
Very Berry - S,29.45,0.011145044523412162,6,4.908333333333333
Pirates Nectar - R,24.87,0.009411791419261817,3,8.290000000000001
Hawaiian Sunset - S,17.67,0.006687026714047298,3,5.890000000000001
Banana's A Whey - R,140.64,0.053223737241856924,16,8.79
Nuttin' Better - R,131.85,0.04989725366424087,15,8.79
Ripped Berry - R,114.27,0.04324428650900875,13,8.79
Strawberry Storm - R,87.9,0.032193851871194314,10,8.507
High Impact Acai - R,111.48,0.042188440185738134,13,8.575384615384616
Mind Over Matcha - R,92.9,0.03515703348811511,10,9.290000000000001
Acai Avalanche - R,74.32,0.028125626790492086,8,9.29
Pomegranate Punch - R,37.16,0.014062813395246043,4,9.29
Pomegranate Passion - R,71.92,0.027217371888753915,8,8.99
Ocean Mist - R,44.95,0.017010857430471198,5,8.99
Brazilian Thunder - R,35.96,0.013608685944376957,4,8.99
Pomegranate Passion - S,23.96,0.009067411435686092,4,5.99
Matcha Monsoon - R,17.98,0.006804342972188479,2,8.99
Matcha Monsoon - S,17.97,0.006800558576764569,3,5.989999999999999
Ocean Mist - S,17.97,0.006800558576764569,3,5.989999999999999
Funky Monkey - R,82.9,0.03137263806420606,10,8.290000000000001
Mangosicle - R,24.87,0.009411791419261817,3,8.290000000000001
Funky Monkey - S,23.56,0.00891603561872973,4,5.89
Berry Cream Sensation - R,16.58,0.00627452761284121,2,8.29
Canadian Colada - R,16.58,0.00627452761284121,2,8.29
Pea (Not) Butter 2.0 - R,16.58,0.00627452761284121,2,8.29
Pineapple Freeze - R,16.58,0.00627452761284121,2,8.29
Berry Cream Sensation - S,5.89,0.0022290089046824325,1,5.89
Canadian Colada - S,5.89,0.0022290089046824325,1,5.89
Pineapple Freeze - S,5.89,0.0022290089046824325,1,5.89
Spinach is in it - R,54.54,0.02064009264199998,7,7.791428571428571
Tropi-Kale - R,54.54,0.02064009264199998,6,9.09
Tropi-Kale - S,36.54,0.013828180878963682,6,6.09
Spinach is in it - S,30.45,0.011523484065803068,5,6.09
Coco Crush - S,18.27,0.006914090439481841,3,6.09
Coco Crush - R,18.18,0.006880030880666659,2,9.09
Lemon Berry - R,44.95,0.017010857430471198,5,8.99
Lemon Berry - S,11.98,0.004533705717843046,2,5.99
$ Whey Protein,36.75,0.013907653182865772,21,1.75
$ Pea Protein,3.0,0.001135318627172716,3,1.0
$ Chia Seeds,2.0,0.000635778431216721,2,0.84
$ Add WowButter,1.5,0.000567659313586358,2,0.75
$ Collagen,1.0,0.00037843954239090536,1,1.0
$ Hemp Hearts,1.0,0.00037843954239090536,1,1.0
$ Banana,0.75,0.00019300416661936174,1,0.51
$ Pineapple,0.75,0.000283829656793179,1,0.75
$ Energy Booster,0.5,0.00018921977119545268,1,0.5
$ Warrior Booster,0.5,0.00018921977119545268,1,0.5
Add Blueberry,0.0,0.0,1,0.0
Add Mango,0.0,0.0,1,0.0
Combo Booster,0.0,0.0,6,0.0
Density Booster,0.0,0.0,4,0.0
Energy Booster,0.0,0.0,15,0.0
No Ice,0.0,0.0,3,0.0
Power Booster,0.0,0.0,6,0.0
Warrior Booster,0.0,0.0,11,0.0
Wilderness Booster,0.0,0.0,1,0.0
Pesto Chicken Panini,26.37,0.009979450732848175,3,8.790000000000001
Chipotle Chicken Wrap,17.58,0.0066529671552321154,3,5.859999999999999
Artisan Grilled Cheese,13.18,0.0049878331687121325,2,6.59
Chicken Quesadilla,8.79,0.0033264835776160577,4,2.1975
Chipotle Chicken Panini,0.0,0.0,2,0.0
Egg White & Cheese Wrap,11.38,0.004306641992408503,2,5.69
Booster Ball (2),25.0,0.008851700896523276,5,4.678
Booster Ball (3),13.5,0.005108933822277222,2,6.75
Booster Ball (1),2.75,0.0010407087415749898,1,2.75
Lemon & Ginger Shot - S,3.29,0.0012450660944660786,1,3.29
Birthday Cake - Booster Ball,0.0,0.0,1,0.0
Chocolate Chip - Booster Ball,0.0,0.0,7,0.0
Monster - Booster Ball,0.0,0.0,3,0.0
Oatmeal Coconut - Booster Ball,0.0,0.0,6,0.0
"""Protein & Co"" Bar",7.38,0.0027928838228448816,2,3.69
Drink - Bottled Water - 500 ml,4.98,0.0018846289211067089,2,2.49
Condiments (Retail/Merchandise),0.0,0.0,2,0.0
Chocolate Peanut - Protein & Co,0.0,0.0,2,0.0
Matcha On My Mind Blend,5.99,0.002266852858921523,1,5.99
$ Spinach,2.25,0.0008514889703795371,3,0.75
$ Ginger,0.75,0.000283829656793179,1,0.75
Allergy: ,0.0,0.0,328,0.0
ALLERGY: fruit,0.0,0.0,1,0.0
No Mango,0.0,0.0,1,0.0
